biglabel,biglabel_link,id,name,market_name,price,exterior_wear,quality,rarity,type,weapon_type
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43017,爪子刀（★） | 渐变大理石 (崭新出厂),★ Karambit | Marble Fade (Factory New),9740.5,崭新出厂,★,隐秘,匕首,爪子刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759326,锯齿爪刀（★）,★ Talon Knife,3158.5,无涂装,★,隐秘,匕首,锯齿爪刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42684,折叠刀（★） | 自动化 (崭新出厂),★ Flip Knife | Autotronic (Factory New),3376.5,崭新出厂,★,隐秘,匕首,折叠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,872518,蝴蝶刀（★ StatTrak?） | 传说 (略有磨损),★ StatTrak? Butterfly Knife | Lore (Minimal Wear),12998,略有磨损,★ StatTrak?,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42994,爪子刀（★） | 大马士革钢 (崭新出厂),★ Karambit | Damascus Steel (Factory New),5869.99,崭新出厂,★,隐秘,匕首,爪子刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871868,蝴蝶刀（★） | 黑色层压板 (破损不堪),★ Butterfly Knife | Black Laminate (Well-Worn),6496,破损不堪,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776766,系绳匕首（★） | 枯焦之色 (久经沙场),★ Paracord Knife | Scorched (Field-Tested),589,久经沙场,★,隐秘,匕首,系绳匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42871,穿肠刀（★） | 都市伪装 (久经沙场),★ Gut Knife | Urban Masked (Field-Tested),557.5,久经沙场,★,隐秘,匕首,穿肠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,773798,海豹短刀（★） | 森林 DDPAT (久经沙场),★ Classic Knife | Forest DDPAT (Field-Tested),809,久经沙场,★,隐秘,匕首,海豹短刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776684,流浪者匕首（★） | 屠夫 (略有磨损),★ Nomad Knife | Slaughter (Minimal Wear),3281.5,略有磨损,★,隐秘,匕首,流浪者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42871,穿肠刀（★） | 都市伪装 (久经沙场),★ Gut Knife | Urban Masked (Field-Tested),557.5,久经沙场,★,隐秘,匕首,穿肠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,773798,海豹短刀（★） | 森林 DDPAT (久经沙场),★ Classic Knife | Forest DDPAT (Field-Tested),809,久经沙场,★,隐秘,匕首,海豹短刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776684,流浪者匕首（★） | 屠夫 (略有磨损),★ Nomad Knife | Slaughter (Minimal Wear),3281.5,略有磨损,★,隐秘,匕首,流浪者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,769540,短剑（★） | 致命紫罗兰 (久经沙场),★ Stiletto Knife | Ultraviolet (Field-Tested),1687.5,久经沙场,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43091,M9 刺刀（★） | 多普勒 (崭新出厂),★ M9 Bayonet | Doppler (Factory New),8380,崭新出厂,★,隐秘,匕首,M9 刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776044,骷髅匕首（★） | 夜色 (破损不堪),★ Skeleton Knife | Night Stripe (Well-Worn),2133,破损不堪,★,隐秘,匕首,骷髅匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759564,折刀（★） | 表面淬火 (久经沙场),★ Navaja Knife | Case Hardened (Field-Tested),809,久经沙场,★,隐秘,匕首,折刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42533,蝴蝶刀（★） | 蓝钢 (久经沙场),★ Butterfly Knife | Blue Steel (Field-Tested),7154.5,久经沙场,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,956685,廓尔喀刀（★） | 夜色 (略有磨损),★ Kukri Knife | Night Stripe (Minimal Wear),1850,略有磨损,★,隐秘,匕首,weapon_knife_kukri
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759573,短剑（★） | 森林 DDPAT (久经沙场),★ Stiletto Knife | Forest DDPAT (Field-Tested),1235.5,久经沙场,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,769497,短剑（★） | 渐变大理石 (崭新出厂),★ Stiletto Knife | Marble Fade (Factory New),3380,崭新出厂,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776949,流浪者匕首（★） | 北方森林 (略有磨损),★ Nomad Knife | Boreal Forest (Minimal Wear),1120,略有磨损,★,隐秘,匕首,流浪者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759455,短剑（★） | 狩猎网格 (久经沙场),★ Stiletto Knife | Safari Mesh (Field-Tested),1178.98,久经沙场,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42998,爪子刀（★） | 多普勒 (崭新出厂),★ Karambit | Doppler (Factory New),9899.99,崭新出厂,★,隐秘,匕首,爪子刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776896,求生匕首（★） | 都市伪装 (久经沙场),★ Survival Knife | Urban Masked (Field-Tested),595,久经沙场,★,隐秘,匕首,求生匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42589,蝴蝶刀（★） | 致命紫罗兰 (战痕累累),★ Butterfly Knife | Ultraviolet (Battle-Scarred),4579.99,战痕累累,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871903,蝴蝶刀（★） | 黑色层压板 (略有磨损),★ Butterfly Knife | Black Laminate (Minimal Wear),7198.5,略有磨损,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776775,骷髅匕首（★） | 狩猎网格 (战痕累累),★ Skeleton Knife | Safari Mesh (Battle-Scarred),1465,战痕累累,★,隐秘,匕首,骷髅匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759525,熊刀（★） | 表面淬火 (久经沙场),★ Ursus Knife | Case Hardened (Field-Tested),1344.98,久经沙场,★,隐秘,匕首,熊刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42704,折叠刀（★） | 澄澈之水 (略有磨损),★ Flip Knife | Bright Water (Minimal Wear),1399,略有磨损,★,隐秘,匕首,折叠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776896,求生匕首（★） | 都市伪装 (久经沙场),★ Survival Knife | Urban Masked (Field-Tested),595,久经沙场,★,隐秘,匕首,求生匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42589,蝴蝶刀（★） | 致命紫罗兰 (战痕累累),★ Butterfly Knife | Ultraviolet (Battle-Scarred),4579.99,战痕累累,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871903,蝴蝶刀（★） | 黑色层压板 (略有磨损),★ Butterfly Knife | Black Laminate (Minimal Wear),7198.5,略有磨损,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776775,骷髅匕首（★） | 狩猎网格 (战痕累累),★ Skeleton Knife | Safari Mesh (Battle-Scarred),1465,战痕累累,★,隐秘,匕首,骷髅匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759525,熊刀（★） | 表面淬火 (久经沙场),★ Ursus Knife | Case Hardened (Field-Tested),1344.98,久经沙场,★,隐秘,匕首,熊刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42704,折叠刀（★） | 澄澈之水 (略有磨损),★ Flip Knife | Bright Water (Minimal Wear),1399,略有磨损,★,隐秘,匕首,折叠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,956693,廓尔喀刀（★） | 人工染色 (战痕累累),★ Kukri Knife | Stained (Battle-Scarred),1729,战痕累累,★,隐秘,匕首,weapon_knife_kukri
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776928,求生匕首（★ StatTrak?） | 狩猎网格 (战痕累累),★ StatTrak? Survival Knife | Safari Mesh (Battle-Scarred),627,战痕累累,★ StatTrak?,隐秘,匕首,求生匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42716,折叠刀（★） | 大马士革钢 (崭新出厂),★ Flip Knife | Damascus Steel (Factory New),1559,崭新出厂,★,隐秘,匕首,折叠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759464,熊刀（★） | 枯焦之色 (久经沙场),★ Ursus Knife | Scorched (Field-Tested),718,久经沙场,★,隐秘,匕首,熊刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871747,蝴蝶刀（★） | 伽玛多普勒 (崭新出厂),★ Butterfly Knife | Gamma Doppler (Factory New),18579,崭新出厂,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43126,M9 刺刀（★） | 枯焦之色 (略有磨损),★ M9 Bayonet | Scorched (Minimal Wear),3319.5,略有磨损,★,隐秘,匕首,M9 刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776886,求生匕首（★） | 表面淬火 (久经沙场),★ Survival Knife | Case Hardened (Field-Tested),1086.49,久经沙场,★,隐秘,匕首,求生匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776875,流浪者匕首（★） | 深红之网 (久经沙场),★ Nomad Knife | Crimson Web (Field-Tested),2548.5,久经沙场,★,s,匕首,流浪者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43082,M9 刺刀（★） | 深红之网 (战痕累累),★ M9 Bayonet | Crimson Web (Battle-Scarred),4099,战痕累累,★,隐秘,匕首,M9 刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42486,鲍伊猎刀（★） | 多普勒 (崭新出厂),★ Bowie Knife | Doppler (Factory New),2499,崭新出厂,★,隐秘,匕首,鲍伊猎刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776755,骷髅匕首（★） | 夜色 (久经沙场),★ Skeleton Knife | Night Stripe (Field-Tested),2270,久经沙场,★,隐秘,匕首,骷髅匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759572,短剑（★） | 渐变之色 (崭新出厂),★ Stiletto Knife | Fade (Factory New),5520,崭新出厂,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42399,刺刀（★） | 自由之手 (久经沙场),★ Bayonet | Freehand (Field-Tested),1950,久经沙场,★,隐秘,匕首,刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43031,爪子刀（★） | 枯焦之色 (略有磨损),★ Karambit | Scorched (Minimal Wear),3875,略有磨损,★,隐秘,匕首,爪子刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42486,鲍伊猎刀（★） | 多普勒 (崭新出厂),★ Bowie Knife | Doppler (Factory New),2499,崭新出厂,★,隐秘,匕首,鲍伊猎刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776755,骷髅匕首（★） | 夜色 (久经沙场),★ Skeleton Knife | Night Stripe (Field-Tested),2270,久经沙场,★,隐秘,匕首,骷髅匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759572,短剑（★） | 渐变之色 (崭新出厂),★ Stiletto Knife | Fade (Factory New),5520,崭新出厂,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42399,刺刀（★） | 自由之手 (久经沙场),★ Bayonet | Freehand (Field-Tested),1950,久经沙场,★,隐秘,匕首,刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43031,爪子刀（★） | 枯焦之色 (略有磨损),★ Karambit | Scorched (Minimal Wear),3875,略有磨损,★,隐秘,匕首,爪子刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43136,M9 刺刀（★） | 虎牙 (崭新出厂),★ M9 Bayonet | Tiger Tooth (Factory New),7255.5,崭新出厂,★,隐秘,匕首,M9 刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43422,蝴蝶刀（★ StatTrak?） | 噩梦之夜 (略有磨损),★ StatTrak? Butterfly Knife | Night (Minimal Wear),5999,略有磨损,★ StatTrak?,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871810,鲍伊猎刀（★） | 自动化 (久经沙场),★ Bowie Knife | Autotronic (Field-Tested),1064.5,久经沙场,★,隐秘,匕首,鲍伊猎刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,769531,锯齿爪刀（★） | 大马士革钢 (略有磨损),★ Talon Knife | Damascus Steel (Minimal Wear),2800,略有磨损,★,隐秘,匕首,锯齿爪刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871832,暗影双匕（★） | 自由之手 (久经沙场),★ Shadow Daggers | Freehand (Field-Tested),588,久经沙场,★,隐秘,匕首,暗影双匕
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43224,暗影双匕（★） | 致命紫罗兰 (久经沙场),★ Shadow Daggers | Ultraviolet (Field-Tested),564.88,久经沙场,★,隐秘,匕首,暗影双匕
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871877,弯刀（★） | 伽玛多普勒 (崭新出厂),★ Falchion Knife | Gamma Doppler (Factory New),2629,崭新出厂,★,隐秘,匕首,弯刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43011,爪子刀（★） | 伽玛多普勒 (崭新出厂),★ Karambit | Gamma Doppler (Factory New),14565.5,崭新出厂,★,隐秘,匕首,爪子刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42572,蝴蝶刀（★） | 狩猎网格 (久经沙场),★ Butterfly Knife | Safari Mesh (Field-Tested),4064.8,久经沙场,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776932,流浪者匕首（★） | 表面淬火 (久经沙场),★ Nomad Knife | Case Hardened (Field-Tested),2300,久经沙场,★,隐秘,匕首,流浪者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42977,爪子刀（★） | 北方森林 (久经沙场),★ Karambit | Boreal Forest (Field-Tested),3498.5,久经沙场,★,隐秘,匕首,爪子刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42845,穿肠刀（★） | 外表生锈 (战痕累累),★ Gut Knife | Rust Coat (Battle-Scarred),589.49,战痕累累,★,隐秘,匕首,穿肠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776969,系绳匕首（★） | 森林 DDPAT (战痕累累),★ Paracord Knife | Forest DDPAT (Battle-Scarred),564.5,战痕累累,★,隐秘,匕首,系绳匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42775,折叠刀（★） | 都市伪装 (战痕累累),★ Flip Knife | Urban Masked (Battle-Scarred),909,战痕累累,★,隐秘,匕首,折叠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42787,穿肠刀（★） | 黑色层压板 (久经沙场),★ Gut Knife | Black Laminate (Field-Tested),670,久经沙场,★,隐秘,匕首,穿肠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42787,穿肠刀（★） | 黑色层压板 (久经沙场),★ Gut Knife | Black Laminate (Field-Tested),670,久经沙场,★,隐秘,匕首,穿肠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,769535,熊刀（★） | 大马士革钢 (崭新出厂),★ Ursus Knife | Damascus Steel (Factory New),1137.5,崭新出厂,★,隐秘,匕首,熊刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43421,蝴蝶刀（★ StatTrak?） | 噩梦之夜 (久经沙场),★ StatTrak? Butterfly Knife | Night (Field-Tested),5066,久经沙场,★ StatTrak?,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871909,蝴蝶刀（★） | 传说 (略有磨损),★ Butterfly Knife | Lore (Minimal Wear),14141.5,略有磨损,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42670,弯刀（★） | 虎牙 (崭新出厂),★ Falchion Knife | Tiger Tooth (Factory New),1539,崭新出厂,★,隐秘,匕首,弯刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871874,蝴蝶刀（★） | 自由之手 (略有磨损),★ Butterfly Knife | Freehand (Minimal Wear),6730,略有磨损,★,隐秘,匕首,蝴蝶刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776793,骷髅匕首（★） | 人工染色 (略有磨损),★ Skeleton Knife | Stained (Minimal Wear),3098.98,略有磨损,★,隐秘,匕首,骷髅匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871919,猎杀者匕首（★） | 黑色层压板 (战痕累累),★ Huntsman Knife | Black Laminate (Battle-Scarred),880,战痕累累,★,隐秘,匕首,猎杀者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42837,穿肠刀（★） | 传说 (略有磨损),★ Gut Knife | Lore (Minimal Wear),1190,略有磨损,★,隐秘,匕首,穿肠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,769513,短剑（★） | 大马士革钢 (久经沙场),★ Stiletto Knife | Damascus Steel (Field-Tested),1928.5,久经沙场,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42488,鲍伊猎刀（★） | 渐变之色 (崭新出厂),★ Bowie Knife | Fade (Factory New),2769,崭新出厂,★,隐秘,匕首,鲍伊猎刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,773821,海豹短刀（★） | 夜色 (战痕累累),★ Classic Knife | Night Stripe (Battle-Scarred),1097.5,战痕累累,★,隐秘,匕首,海豹短刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776832,流浪者匕首（★） | 渐变之色 (略有磨损),★ Nomad Knife | Fade (Minimal Wear),6688.88,略有磨损,★,隐秘,匕首,流浪者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42619,弯刀（★） | 北方森林 (久经沙场),★ Falchion Knife | Boreal Forest (Field-Tested),644,久经沙场,★,隐秘,匕首,弯刀
