biglabel,id,name,market_name,price,exterior_wear,quality,rarity,type,weapon_type
Knives,956685,夜色,★ Kukri Knife | Night Stripe (Minimal Wear),1850,4,8,5,10,weapon_knife_kukri
Knives,759573,森林DDPAT,★ Stiletto Knife | Forest DDPAT (Field-Tested),1235.5,3,8,5,10,短剑
Knives,769497,渐变大理石,★ Stiletto Knife | Marble Fade (Factory New),3380,5,8,5,10,短剑
Knives,776949,北方森林,★ Nomad Knife | Boreal Forest (Minimal Wear),1120,4,8,5,10,流浪者匕首
Knives,759455,狩猎网格,★ Stiletto Knife | Safari Mesh (Field-Tested),1178.98,3,8,5,10,短剑
Knives,42998,多普勒,★ Karambit | Doppler (Factory New),9899.99,5,8,5,10,爪子刀
Knives,776896,都市伪装,★ Survival Knife | Urban Masked (Field-Tested),595,3,8,5,10,求生匕首
Knives,42589,致命紫罗兰,★ Butterfly Knife | Ultraviolet (Battle-Scarred),4579.99,1,8,5,10,蝴蝶刀
Knives,871903,黑色层压板,★ Butterfly Knife | Black Laminate (Minimal Wear),7198.5,4,8,5,10,蝴蝶刀
Knives,776775,狩猎网格,★ Skeleton Knife | Safari Mesh (Battle-Scarred),1465,1,8,5,10,骷髅匕首
Knives,759525,表面淬火,★ Ursus Knife | Case Hardened (Field-Tested),1344.98,3,8,5,10,熊刀
Knives,42704,澄澈之水,★ Flip Knife | Bright Water (Minimal Wear),1399,4,8,5,10,折叠刀
Knives,776896,都市伪装,★ Survival Knife | Urban Masked (Field-Tested),595,3,8,5,10,求生匕首
Knives,42589,致命紫罗兰,★ Butterfly Knife | Ultraviolet (Battle-Scarred),4579.99,1,8,5,10,蝴蝶刀
Knives,871903,黑色层压板,★ Butterfly Knife | Black Laminate (Minimal Wear),7198.5,4,8,5,10,蝴蝶刀
Knives,776775,狩猎网格,★ Skeleton Knife | Safari Mesh (Battle-Scarred),1465,1,8,5,10,骷髅匕首
Knives,759525,表面淬火,★ Ursus Knife | Case Hardened (Field-Tested),1344.98,3,8,5,10,熊刀
Knives,42704,澄澈之水,★ Flip Knife | Bright Water (Minimal Wear),1399,4,8,5,10,折叠刀
Knives,956693,人工染色,★ Kukri Knife | Stained (Battle-Scarred),1729,1,8,5,10,weapon_knife_kukri
Knives,776928,狩猎网格,★ StatTrak? Survival Knife | Safari Mesh (Battle-Scarred),627,1,10,5,10,求生匕首
Knives,42716,大马士革钢,★ Flip Knife | Damascus Steel (Factory New),1559,5,8,5,10,折叠刀
Knives,759464,枯焦之色,★ Ursus Knife | Scorched (Field-Tested),718,3,8,5,10,熊刀
Knives,871747,伽玛多普勒,★ Butterfly Knife | Gamma Doppler (Factory New),18579,5,8,5,10,蝴蝶刀
Knives,43126,枯焦之色,★ M9 Bayonet | Scorched (Minimal Wear),3319.5,4,8,5,10,M9 刺刀
Knives,776886,表面淬火,★ Survival Knife | Case Hardened (Field-Tested),1086.49,3,8,5,10,求生匕首
Knives,776875,深红之网,★ Nomad Knife | Crimson Web (Field-Tested),2548.5,3,8,4,10,流浪者匕首
Knives,43082,深红之网,★ M9 Bayonet | Crimson Web (Battle-Scarred),4099,1,8,5,10,M9 刺刀
Knives,42486,多普勒,★ Bowie Knife | Doppler (Factory New),2499,5,8,5,10,鲍伊猎刀
Knives,776755,夜色,★ Skeleton Knife | Night Stripe (Field-Tested),2270,3,8,5,10,骷髅匕首
Knives,759572,渐变之色,★ Stiletto Knife | Fade (Factory New),5520,5,8,5,10,短剑
Knives,42399,自由之手,★ Bayonet | Freehand (Field-Tested),1950,3,8,5,10,刺刀
Knives,43031,枯焦之色,★ Karambit | Scorched (Minimal Wear),3875,4,8,5,10,爪子刀
Knives,42486,多普勒,★ Bowie Knife | Doppler (Factory New),2499,5,8,5,10,鲍伊猎刀
Knives,776755,夜色,★ Skeleton Knife | Night Stripe (Field-Tested),2270,3,8,5,10,骷髅匕首
Knives,759572,渐变之色,★ Stiletto Knife | Fade (Factory New),5520,5,8,5,10,短剑
Knives,42399,自由之手,★ Bayonet | Freehand (Field-Tested),1950,3,8,5,10,刺刀
Knives,43031,枯焦之色,★ Karambit | Scorched (Minimal Wear),3875,4,8,5,10,爪子刀
Knives,43136,虎牙,★ M9 Bayonet | Tiger Tooth (Factory New),7255.5,5,8,5,10,M9 刺刀
Knives,43422,噩梦之夜,★ StatTrak? Butterfly Knife | Night (Minimal Wear),5999,4,10,5,10,蝴蝶刀
Knives,871810,自动化,★ Bowie Knife | Autotronic (Field-Tested),1064.5,3,8,5,10,鲍伊猎刀
Knives,769531,大马士革钢,★ Talon Knife | Damascus Steel (Minimal Wear),2800,4,8,5,10,锯齿爪刀
Knives,871832,自由之手,★ Shadow Daggers | Freehand (Field-Tested),588,3,8,5,10,暗影双匕
Knives,43224,致命紫罗兰,★ Shadow Daggers | Ultraviolet (Field-Tested),564.88,3,8,5,10,暗影双匕
Knives,871877,伽玛多普勒,★ Falchion Knife | Gamma Doppler (Factory New),2629,5,8,5,10,弯刀
Knives,43011,伽玛多普勒,★ Karambit | Gamma Doppler (Factory New),14565.5,5,8,5,10,爪子刀
Knives,42572,狩猎网格,★ Butterfly Knife | Safari Mesh (Field-Tested),4064.8,3,8,5,10,蝴蝶刀
Knives,776932,表面淬火,★ Nomad Knife | Case Hardened (Field-Tested),2300,3,8,5,10,流浪者匕首
Knives,42977,北方森林,★ Karambit | Boreal Forest (Field-Tested),3498.5,3,8,5,10,爪子刀
Knives,42845,外表生锈,★ Gut Knife | Rust Coat (Battle-Scarred),589.49,1,8,5,10,穿肠刀
Knives,776969,森林DDPAT,★ Paracord Knife | Forest DDPAT (Battle-Scarred),564.5,1,8,5,10,系绳匕首
Knives,42775,都市伪装,★ Flip Knife | Urban Masked (Battle-Scarred),909,1,8,5,10,折叠刀
Knives,42787,黑色层压板,★ Gut Knife | Black Laminate (Field-Tested),670,3,8,5,10,穿肠刀
Knives,42787,黑色层压板,★ Gut Knife | Black Laminate (Field-Tested),670,3,8,5,10,穿肠刀
Knives,769535,大马士革钢,★ Ursus Knife | Damascus Steel (Factory New),1137.5,5,8,5,10,熊刀
Knives,43421,噩梦之夜,★ StatTrak? Butterfly Knife | Night (Field-Tested),5066,3,10,5,10,蝴蝶刀
Knives,871909,传说,★ Butterfly Knife | Lore (Minimal Wear),14141.5,4,8,5,10,蝴蝶刀
Knives,42670,虎牙,★ Falchion Knife | Tiger Tooth (Factory New),1539,5,8,5,10,弯刀
Knives,871874,自由之手,★ Butterfly Knife | Freehand (Minimal Wear),6730,4,8,5,10,蝴蝶刀
Knives,776793,人工染色,★ Skeleton Knife | Stained (Minimal Wear),3098.98,4,8,5,10,骷髅匕首
Knives,871919,黑色层压板,★ Huntsman Knife | Black Laminate (Battle-Scarred),880,1,8,5,10,猎杀者匕首
Knives,42837,传说,★ Gut Knife | Lore (Minimal Wear),1190,4,8,5,10,穿肠刀
Knives,769513,大马士革钢,★ Stiletto Knife | Damascus Steel (Field-Tested),1928.5,3,8,5,10,短剑
Knives,42488,渐变之色,★ Bowie Knife | Fade (Factory New),2769,5,8,5,10,鲍伊猎刀
Knives,773821,夜色,★ Classic Knife | Night Stripe (Battle-Scarred),1097.5,1,8,5,10,海豹短刀
Knives,776832,渐变之色,★ Nomad Knife | Fade (Minimal Wear),6688.88,4,8,5,10,流浪者匕首
Knives,42619,北方森林,★ Falchion Knife | Boreal Forest (Field-Tested),644,3,8,5,10,弯刀
Knives,871875,传说,★ Huntsman Knife | Lore (Field-Tested),1300,3,8,5,10,猎杀者匕首
Knives,760248,狩猎网格,★ Ursus Knife | Safari Mesh (Battle-Scarred),669,1,8,5,10,熊刀
Knives,773833,人工染色,★ Classic Knife | Stained (Field-Tested),1138.5,3,8,5,10,海豹短刀
Knives,759511,夜色,★ Stiletto Knife | Night Stripe (Field-Tested),1412,3,8,5,10,短剑
Knives,777085,人工染色,★ Skeleton Knife | Stained (Well-Worn),2399.5,2,8,5,10,骷髅匕首
Knives,776595,森林DDPAT,★ Skeleton Knife | Forest DDPAT (Minimal Wear),1729.3,4,8,5,10,骷髅匕首
Knives,759511,夜色,★ Stiletto Knife | Night Stripe (Field-Tested),1412,3,8,5,10,短剑
Knives,777085,人工染色,★ Skeleton Knife | Stained (Well-Worn),2399.5,2,8,5,10,骷髅匕首
Knives,776595,森林DDPAT,★ Skeleton Knife | Forest DDPAT (Minimal Wear),1729.3,4,8,5,10,骷髅匕首
Knives,769500,多普勒,★ Talon Knife | Doppler (Factory New),6666,5,8,5,10,锯齿爪刀
Knives,42504,狩猎网格,★ Bowie Knife | Safari Mesh (Field-Tested),598,3,8,5,10,鲍伊猎刀
Knives,769527,致命紫罗兰,★ Navaja Knife | Ultraviolet (Field-Tested),567.5,3,8,5,10,折刀
Knives,872035,黑色层压板,★ Falchion Knife | Black Laminate (Well-Worn),709.5,2,8,5,10,弯刀
Knives,42690,黑色层压板,★ Flip Knife | Black Laminate (Field-Tested),1369,3,8,5,10,折叠刀
Knives,43294,渐变之色,★ StatTrak? Bayonet | Fade (Factory New),5685.99,5,10,5,10,刺刀
Knives,956634,北方森林,★ Kukri Knife | Boreal Forest (Field-Tested),1365,3,8,5,10,weapon_knife_kukri
Knives,956674,夜色,★ Kukri Knife | Night Stripe (Battle-Scarred),1420,1,8,5,10,weapon_knife_kukri
Knives,956622,渐变之色,★ Kukri Knife | Fade (Factory New),6630,5,8,5,10,weapon_knife_kukri
Knives,769498,虎牙,★ Stiletto Knife | Tiger Tooth (Factory New),3128,5,8,5,10,短剑
Knives,776878,人工染色,★ Nomad Knife | Stained (Minimal Wear),2061,4,8,5,10,流浪者匕首
Knives,42650,外表生锈,★ Falchion Knife | Rust Coat (Battle-Scarred),665.5,1,8,5,10,弯刀
Knives,43162,暗影双匕（★）,★ Shadow Daggers,883.5,0,8,5,10,暗影双匕
Knives,42469,北方森林,★ Bowie Knife | Boreal Forest (Field-Tested),599,3,8,5,10,鲍伊猎刀
Knives,42563,渐变大理石,★ Butterfly Knife | Marble Fade (Factory New),14000,5,8,5,10,蝴蝶刀
Knives,42734,伽玛多普勒,★ Flip Knife | Gamma Doppler (Factory New),4299.5,5,8,5,10,折叠刀
Knives,871917,澄澈之水,★ Butterfly Knife | Bright Water (Minimal Wear),6299,4,8,5,10,蝴蝶刀
Knives,776296,渐变之色,★ Paracord Knife | Fade (Factory New),2800,5,8,5,10,系绳匕首
Knives,956702,深红之网,★ Kukri Knife | Crimson Web (Battle-Scarred),1940,1,8,5,10,weapon_knife_kukri
Knives,777042,北方森林,★ StatTrak? Nomad Knife | Boreal Forest (Field-Tested),963,3,10,5,10,流浪者匕首
Knives,759512,枯焦之色,★ Stiletto Knife | Scorched (Field-Tested),1300,3,8,5,10,短剑
Knives,43202,外表生锈,★ Shadow Daggers | Rust Coat (Well-Worn),543,2,8,5,10,暗影双匕
Knives,776978,深红之网,★ Nomad Knife | Crimson Web (Battle-Scarred),1698.46,1,8,5,10,流浪者匕首
Knives,872009,黑色层压板,★ Falchion Knife | Black Laminate (Minimal Wear),790,4,8,5,10,弯刀
Knives,759780,都市伪装,★ Stiletto Knife | Urban Masked (Battle-Scarred),1230,1,8,5,10,短剑
Knives,43218,人工染色,★ Shadow Daggers | Stained (Minimal Wear),584,4,8,5,10,暗影双匕
Knives,759518,渐变之色,★ Talon Knife | Fade (Factory New),8400,5,8,5,10,锯齿爪刀
Knives,42682,折叠刀（★）,★ Flip Knife,2405,0,8,5,10,折叠刀
Knives,776812,表面淬火,★ Paracord Knife | Case Hardened (Battle-Scarred),938.49,1,8,5,10,系绳匕首
Knives,872010,传说,★ Butterfly Knife | Lore (Well-Worn),6666,2,8,5,10,蝴蝶刀
Knives,776881,表面淬火,★ Skeleton Knife | Case Hardened (Minimal Wear),4099.99,4,8,5,10,骷髅匕首
Knives,42695,蓝钢,★ Flip Knife | Blue Steel (Field-Tested),1576.49,3,8,5,10,折叠刀
Knives,872047,自动化,★ Butterfly Knife | Autotronic (Well-Worn),8209,2,8,5,10,蝴蝶刀
Knives,769552,大马士革钢,★ Talon Knife | Damascus Steel (Factory New),3010,5,8,5,10,锯齿爪刀
Knives,759403,夜色,★ Talon Knife | Night Stripe (Field-Tested),1999.5,3,8,5,10,锯齿爪刀
Knives,42372,澄澈之水,★ Bayonet | Bright Water (Field-Tested),1760,3,8,5,10,刺刀
Knives,43418,渐变大理石,★ StatTrak? Butterfly Knife | Marble Fade (Factory New),13800,5,10,5,10,蝴蝶刀
Knives,43418,渐变大理石,★ StatTrak? Butterfly Knife | Marble Fade (Factory New),13800,5,10,5,10,蝴蝶刀
Knives,773841,森林DDPAT,★ Classic Knife | Forest DDPAT (Battle-Scarred),788,1,8,5,10,海豹短刀
Knives,776968,蓝钢,★ Nomad Knife | Blue Steel (Minimal Wear),2388,4,8,5,10,流浪者匕首
Knives,42679,都市伪装,★ Falchion Knife | Urban Masked (Field-Tested),640,3,8,5,10,弯刀
Knives,42691,黑色层压板,★ Flip Knife | Black Laminate (Minimal Wear),1433.7,4,8,5,10,折叠刀
Knives,42475,表面淬火,★ Bowie Knife | Case Hardened (Minimal Wear),1748.3,4,8,5,10,鲍伊猎刀
Knives,43440,都市伪装,★ StatTrak? Butterfly Knife | Urban Masked (Field-Tested),4150,3,10,5,10,蝴蝶刀
Knives,759452,蓝钢,★ Stiletto Knife | Blue Steel (Battle-Scarred),2089,1,8,5,10,短剑
Knives,871942,自动化,★ Shadow Daggers | Autotronic (Field-Tested),629.5,3,8,5,10,暗影双匕
Knives,42680,都市伪装,★ Falchion Knife | Urban Masked (Minimal Wear),794,4,8,5,10,弯刀
Knives,872013,澄澈之水,★ Huntsman Knife | Bright Water (Minimal Wear),875,4,8,5,10,猎杀者匕首
Knives,769605,大马士革钢,★ Stiletto Knife | Damascus Steel (Factory New),2260,5,8,5,10,短剑
Knives,759401,表面淬火,★ Talon Knife | Case Hardened (Field-Tested),3429,3,8,5,10,锯齿爪刀
Knives,43035,屠夫,★ Karambit | Slaughter (Minimal Wear),7760,4,8,5,10,爪子刀
Knives,759385,渐变之色,★ Navaja Knife | Fade (Factory New),1538,5,8,5,10,折刀
Knives,43117,外表生锈,★ M9 Bayonet | Rust Coat (Battle-Scarred),3563.8,1,8,5,10,M9 刺刀
Knives,773846,人工染色,★ Classic Knife | Stained (Well-Worn),1015,2,8,5,10,海豹短刀
Knives,759842,蓝钢,★ Navaja Knife | Blue Steel (Well-Worn),579.99,2,8,5,10,折刀
Knives,42519,人工染色,★ Bowie Knife | Stained (Well-Worn),807,2,8,5,10,鲍伊猎刀
Knives,776698,夜色,★ Survival Knife | Night Stripe (Field-Tested),641,3,8,5,10,求生匕首
Knives,43117,外表生锈,★ M9 Bayonet | Rust Coat (Battle-Scarred),3563.8,1,8,5,10,M9 刺刀
Knives,773846,人工染色,★ Classic Knife | Stained (Well-Worn),1015,2,8,5,10,海豹短刀
Knives,759842,蓝钢,★ Navaja Knife | Blue Steel (Well-Worn),579.99,2,8,5,10,折刀
Knives,42519,人工染色,★ Bowie Knife | Stained (Well-Worn),807,2,8,5,10,鲍伊猎刀
Knives,776698,夜色,★ Survival Knife | Night Stripe (Field-Tested),641,3,8,5,10,求生匕首
Knives,42816,大马士革钢,★ Gut Knife | Damascus Steel (Minimal Wear),715,4,8,5,10,穿肠刀
Knives,871888,自由之手,★ Butterfly Knife | Freehand (Field-Tested),6097,3,8,5,10,蝴蝶刀
Knives,871856,自动化,★ Butterfly Knife | Autotronic (Field-Tested),9049.5,3,8,5,10,蝴蝶刀
Knives,42703,澄澈之水,★ Flip Knife | Bright Water (Field-Tested),1290,3,8,5,10,折叠刀
Knives,42970,黑色层压板,★ Karambit | Black Laminate (Well-Worn),5614.5,2,8,5,10,爪子刀
Knives,43627,外表生锈,★ StatTrak? Gut Knife | Rust Coat (Battle-Scarred),610,1,10,5,10,穿肠刀
Knives,776593,枯焦之色,★ Skeleton Knife | Scorched (Battle-Scarred),1548,1,8,5,10,骷髅匕首
Knives,43075,澄澈之水,★ M9 Bayonet | Bright Water (Minimal Wear),4166,4,8,5,10,M9 刺刀
Knives,42839,渐变大理石,★ Gut Knife | Marble Fade (Factory New),1159.98,5,8,5,10,穿肠刀
Knives,42535,蓝钢,★ Butterfly Knife | Blue Steel (Well-Worn),6720,2,8,5,10,蝴蝶刀
Knives,42866,致命紫罗兰,★ Gut Knife | Ultraviolet (Battle-Scarred),572.39,1,8,5,10,穿肠刀
Knives,42966,黑色层压板,★ Karambit | Black Laminate (Battle-Scarred),5600,1,8,5,10,爪子刀
Knives,769523,大马士革钢,★ Navaja Knife | Damascus Steel (Factory New),653,5,8,5,10,折刀
Knives,759440,北方森林,★ Navaja Knife | Boreal Forest (Field-Tested),507.71,3,8,5,10,折刀
Knives,773838,深红之网,★ Classic Knife | Crimson Web (Minimal Wear),2363.5,4,8,5,10,海豹短刀
Knives,759440,北方森林,★ Navaja Knife | Boreal Forest (Field-Tested),507.71,3,8,5,10,折刀
Knives,773838,深红之网,★ Classic Knife | Crimson Web (Minimal Wear),2363.5,4,8,5,10,海豹短刀
Knives,42982,澄澈之水,★ Karambit | Bright Water (Minimal Wear),4799.5,4,8,5,10,爪子刀
Knives,773796,都市伪装,★ Classic Knife | Urban Masked (Field-Tested),870,3,8,5,10,海豹短刀
Knives,776563,森林DDPAT,★ Skeleton Knife | Forest DDPAT (Field-Tested),1584.9,3,8,5,10,骷髅匕首
Knives,759402,森林DDPAT,★ Talon Knife | Forest DDPAT (Field-Tested),1700,3,8,5,10,锯齿爪刀
Knives,42692,黑色层压板,★ Flip Knife | Black Laminate (Well-Worn),1275,2,8,5,10,折叠刀
Knives,759327,深红之网,★ Talon Knife | Crimson Web (Field-Tested),2915,3,8,5,10,锯齿爪刀
Knives,42949,人工染色,★ Huntsman Knife | Stained (Well-Worn),898.5,2,8,5,10,猎杀者匕首
Knives,871935,自动化,★ Butterfly Knife | Autotronic (Battle-Scarred),7049.5,1,8,5,10,蝴蝶刀
Knives,761866,人工染色,★ StatTrak? Stiletto Knife | Stained (Minimal Wear),2000,4,10,5,10,短剑
Knives,956689,都市伪装,★ Kukri Knife | Urban Masked (Well-Worn),1295,2,8,5,10,weapon_knife_kukri
Knives,769495,虎牙,★ Navaja Knife | Tiger Tooth (Factory New),824,5,8,5,10,折刀
Knives,776934,夜色,★ Nomad Knife | Night Stripe (Well-Worn),1145,2,8,5,10,流浪者匕首
Knives,43107,传说,★ M9 Bayonet | Lore (Field-Tested),6244.5,3,8,5,10,M9 刺刀
Knives,769560,致命紫罗兰,★ Stiletto Knife | Ultraviolet (Battle-Scarred),1458.5,1,8,5,10,短剑
Knives,759521,人工染色,★ Talon Knife | Stained (Battle-Scarred),2199,1,8,5,10,锯齿爪刀
Knives,759684,蓝钢,★ Ursus Knife | Blue Steel (Minimal Wear),1262,4,8,5,10,熊刀
Knives,43088,大马士革钢,★ M9 Bayonet | Damascus Steel (Field-Tested),4420,3,8,5,10,M9 刺刀
Knives,42730,自由之手,★ Flip Knife | Freehand (Factory New),1571.5,5,8,5,10,折叠刀
Knives,42730,自由之手,★ Flip Knife | Freehand (Factory New),1571.5,5,8,5,10,折叠刀
Knives,871722,伽玛多普勒,★ Shadow Daggers | Gamma Doppler (Factory New),1274.95,5,8,5,10,暗影双匕
Knives,871987,自由之手,★ Huntsman Knife | Freehand (Minimal Wear),999.98,4,8,5,10,猎杀者匕首
Knives,42584,人工染色,★ Butterfly Knife | Stained (Field-Tested),5647,3,8,5,10,蝴蝶刀
Knives,777152,人工染色,★ StatTrak? Survival Knife | Stained (Minimal Wear),1050,4,10,5,10,求生匕首
Knives,773785,狩猎网格,★ Classic Knife | Safari Mesh (Field-Tested),783,3,8,5,10,海豹短刀
Knives,773837,蓝钢,★ Classic Knife | Blue Steel (Well-Worn),1355.9,2,8,5,10,海豹短刀
Knives,871857,澄澈之水,★ Falchion Knife | Bright Water (Field-Tested),760,3,8,5,10,弯刀
Knives,42434,虎牙,★ Bayonet | Tiger Tooth (Factory New),3440,5,8,5,10,刺刀
Knives,42587,虎牙,★ Butterfly Knife | Tiger Tooth (Factory New),10994,5,8,5,10,蝴蝶刀
Knives,42433,人工染色,★ Bayonet | Stained (Well-Worn),1710,2,8,5,10,刺刀
Knives,42579,屠夫,★ Butterfly Knife | Slaughter (Factory New),12788,5,8,5,10,蝴蝶刀
Knives,956645,廓尔喀刀（★）,★ Kukri Knife,3774,0,8,5,10,weapon_knife_kukri
Knives,776823,北方森林,★ Paracord Knife | Boreal Forest (Field-Tested),599,3,8,5,10,系绳匕首
Knives,42696,蓝钢,★ Flip Knife | Blue Steel (Minimal Wear),1672.5,4,8,5,10,折叠刀
Knives,42570,外表生锈,★ Butterfly Knife | Rust Coat (Well-Worn),5150,2,8,5,10,蝴蝶刀
Knives,42406,传说,★ Bayonet | Lore (Field-Tested),2998,3,8,5,10,刺刀
Knives,776844,森林DDPAT,★ Paracord Knife | Forest DDPAT (Minimal Wear),627,4,8,5,10,系绳匕首
Knives,871959,传说,★ Shadow Daggers | Lore (Well-Worn),689,2,8,5,10,暗影双匕
Knives,769416,外表生锈,★ Ursus Knife | Rust Coat (Battle-Scarred),792.5,1,8,5,10,熊刀
Knives,871959,传说,★ Shadow Daggers | Lore (Well-Worn),689,2,8,5,10,暗影双匕
Knives,769416,外表生锈,★ Ursus Knife | Rust Coat (Battle-Scarred),792.5,1,8,5,10,熊刀
Knives,759405,深红之网,★ Ursus Knife | Crimson Web (Field-Tested),1583,3,8,5,10,熊刀
Knives,42536,北方森林,★ Butterfly Knife | Boreal Forest (Battle-Scarred),4064,1,8,5,10,蝴蝶刀
Knives,43334,鲍伊猎刀（★StatTrak?）,★ StatTrak? Bowie Knife,1200,0,10,5,10,鲍伊猎刀
Knives,43002,森林DDPAT,★ Karambit | Forest DDPAT (Battle-Scarred),3262,1,8,5,10,爪子刀
Knives,759634,狩猎网格,★ Ursus Knife | Safari Mesh (Minimal Wear),700,4,8,5,10,熊刀
Knives,871861,伽玛多普勒,★ Bowie Knife | Gamma Doppler (Factory New),2447,5,8,5,10,鲍伊猎刀
Knives,42594,都市伪装,★ Butterfly Knife | Urban Masked (Field-Tested),4199.5,3,8,5,10,蝴蝶刀
Knives,42391,渐变之色,★ Bayonet | Fade (Factory New),5389.5,5,8,5,10,刺刀
Knives,956659,枯焦之色,★ Kukri Knife | Scorched (Field-Tested),1349.5,3,8,5,10,weapon_knife_kukri
Knives,42484,大马士革钢,★ Bowie Knife | Damascus Steel (Minimal Wear),1005,4,8,5,10,鲍伊猎刀
Knives,42864,虎牙,★ Gut Knife | Tiger Tooth (Factory New),1009.5,5,8,5,10,穿肠刀
Knives,759580,夜色,★ Talon Knife | Night Stripe (Well-Worn),1870,2,8,5,10,锯齿爪刀
Knives,956679,深红之网,★ Kukri Knife | Crimson Web (Minimal Wear),4700,4,8,5,10,weapon_knife_kukri
Knives,760139,森林DDPAT,★ Stiletto Knife | Forest DDPAT (Battle-Scarred),1150,1,8,5,10,短剑
Knives,776803,屠夫,★ Survival Knife | Slaughter (Factory New),1719.99,5,8,5,10,求生匕首
Knives,42736,传说,★ Flip Knife | Lore (Battle-Scarred),1470,1,8,5,10,折叠刀
Knives,777048,狩猎网格,★ StatTrak? Paracord Knife | Safari Mesh (Field-Tested),571.8,3,10,5,10,系绳匕首
Knives,777586,深红之网,★ StatTrak? Skeleton Knife | Crimson Web (Minimal Wear),6555.99,4,10,5,10,骷髅匕首
Knives,777048,狩猎网格,★ StatTrak? Paracord Knife | Safari Mesh (Field-Tested),571.8,3,10,5,10,系绳匕首
Knives,777586,深红之网,★ StatTrak? Skeleton Knife | Crimson Web (Minimal Wear),6555.99,4,10,5,10,骷髅匕首
Knives,42569,外表生锈,★ Butterfly Knife | Rust Coat (Battle-Scarred),5036.5,1,8,5,10,蝴蝶刀
Knives,43397,北方森林,★ StatTrak? Butterfly Knife | Boreal Forest (Minimal Wear),4620,4,10,5,10,蝴蝶刀
Knives,43010,自由之手,★ Karambit | Freehand (Well-Worn),4250,2,8,5,10,爪子刀
Knives,42359,黑色层压板,★ Bayonet | Black Laminate (Well-Worn),1910,2,8,5,10,刺刀
Knives,759569,都市伪装,★ Navaja Knife | Urban Masked (Field-Tested),517.45,3,8,5,10,折刀
Knives,872103,自动化,★ StatTrak? Butterfly Knife | Autotronic (Battle-Scarred),7100,1,10,5,10,蝴蝶刀
Knives,43110,渐变大理石,★ M9 Bayonet | Marble Fade (Factory New),9059,5,8,5,10,M9 刺刀
Knives,871954,自由之手,★ Bowie Knife | Freehand (Minimal Wear),910.48,4,8,5,10,鲍伊猎刀
